Profili IPE,G,h,b,tw,tf,r,A,hi,d,Ø,pmin,pmax,AL,AG,Iy,Wel.y,Wpl.y,iy,Avz,Iz,Wel.z,Wpl.z, iz,ss,It,Iwx10-3,,,,,,,,,,
"D = 114,3",114.3,5,13.5,17.2,257,3.87,45,59.8,514,89.9,0.359,74.2,,,,,,,,,,,,,,,,,,,,,,,,
"D = 114,3",114.3,6,16,20.4,300,3.83,52.5,70.4,600,105,0.359,62.4,,,,,,,,,,,,,,,,,,,,,,,,
"D = 114,3",114.3,6.3,16.8,21.4,313,3.82,54.7,73.6,625,109,0.359,59.6,,,,,,,,,,,,,,,,,,,,,,,,
"D = 114,3",114.3,8,21,26.7,379,3.77,66.4,90.6,759,133,0.359,47.7,,,,,,,,,,,,,,,,,,,,,,,,
"D = 114,3",114.3,10,25.7,32.8,450,3.7,78.7,109,899,157,0.359,38.9,,,,,,,,,,,,,,,,,,,,,,,,
"D = 139,7",139.7,4,13.4,17.1,393,4.8,56.2,73.7,786,112,0.439,74.7,,,,,,,,,,,,,,,,,,,,,,,,
"D = 139,7",139.7,5,16.6,21.2,481,4.77,68.8,90.8,961,138,0.439,60.2,,,,,,,,,,,,,,,,,,,,,,,,
"D = 139,7",139.7,6,19.8,25.2,564,4.73,80.8,107,1129,162,0.439,50.5,,,,,,,,,,,,,,,,,,,,,,,,
"D = 139,7",139.7,6.3,20.7,26.4,589,4.72,84.3,112,1177,169,0.439,48.2,,,,,,,,,,,,,,,,,,,,,,,,
"D = 139,7",139.7,8,26,33.1,720,4.66,103,139,1441,206,0.439,38.5,,,,,,,,,,,,,,,,,,,,,,,,
"D = 139,7",139.7,10,32,40.7,862,4.6,123,169,1724,247,0.439,31.3,,,,,,,,,,,,,,,,,,,,,,,,
"D = 139,7",139.7,12,37.8,48.1,990,4.53,142,196,1980,283,0.439,26.5,,,,,,,,,,,,,,,,,,,,,,,,
"D = 139,7",139.7,12.5,39.2,50,1020,4.52,146,203,2040,292,0.439,25.5,,,,,,,,,,,,,,,,,,,,,,,,
"D = 168,3",168.3,4,16.2,20.6,697,5.81,82.8,108,1394,166,0.529,61.7,,,,,,,,,,,,,,,,,,,,,,,,
"D = 168,3",168.3,5,20.1,25.7,856,5.78,102,133,1712,203,0.529,49.7,,,,,,,,,,,,,,,,,,,,,,,,
"D = 168,3",168.3,6,24,30.6,1009,5.74,120,158,2017,240,0.529,41.6,,,,,,,,,,,,,,,,,,,,,,,,
"D = 168,3",168.3,6.3,25.2,32.1,1053,5.73,125,165,2107,250,0.529,39.7,,,,,,,,,,,,,,,,,,,,,,,,
"D = 168,3",168.3,8,31.6,40.3,1297,5.67,154,206,2595,308,0.529,31.6,,,,,,,,,,,,,,,,,,,,,,,,
"D = 168,3",168.3,10,39,49.7,1564,5.61,186,251,3128,372,0.529,25.6,,,,,,,,,,,,,,,,,,,,,,,,
"D = 168,3",168.3,12,46.3,58.9,1810,5.54,215,294,3620,430,0.529,21.6,,,,,,,,,,,,,,,,,,,,,,,,
"D = 168,3",168.3,12.5,48,61.2,1868,5.53,222,304,3737,444,0.529,20.8,,,,,,,,,,,,,,,,,,,,,,,,
"D = 177,8",177.8,5,21.3,27.1,1014,6.11,114,149,2028,228,0.559,46.9,,,,,,,,,,,,,,,,,,,,,,,,
"D = 177,8",177.8,6,25.4,32.4,1196,6.08,135,177,2392,269,0.559,39.3,,,,,,,,,,,,,,,,,,,,,,,,
"D = 177,8",177.8,6.3,26.6,33.9,1250,6.07,141,185,2499,281,0.559,37.5,,,,,,,,,,,,,,,,,,,,,,,,
"D = 177,8",177.8,8,33.5,42.7,1541,6.01,173,231,3083,347,0.559,29.9,,,,,,,,,,,,,,,,,,,,,,,,
"D = 177,8",177.8,10,41.4,52.7,1862,5.94,209,282,3724,419,0.559,24.2,,,,,,,,,,,,,,,,,,,,,,,,
"D = 177,8",177.8,12,49.1,62.5,2159,5.88,243,330,4318,486,0.559,20.4,,,,,,,,,,,,,,,,,,,,,,,,
"D = 177,8",177.8,12.5,51,64.9,2230,5.86,251,342,4460,502,0.559,19.6,,,,,,,,,,,,,,,,,,,,,,,,
"D = 193,7",193.7,5,23.3,29.6,1320,6.67,136,178,2640,273,0.609,43,,,,,,,,,,,,,,,,,,,,,,,,
"D = 193,7",193.7,6,27.8,35.4,1560,6.64,161,211,3119,322,0.609,36,,,,,,,,,,,,,,,,,,,,,,,,
"D = 193,7",193.7,6.3,29.1,37.1,1630,6.63,168,221,3260,337,0.609,34.3,,,,,,,,,,,,,,,,,,,,,,,,
"D = 193,7",193.7,8,36.6,46.7,2016,6.57,208,276,4031,416,0.609,27.3,,,,,,,,,,,,,,,,,,,,,,,,
"D = 193,7",193.7,10,45.3,57.7,2442,6.5,252,338,4883,504,0.609,22.1,,,,,,,,,,,,,,,,,,,,,,,,
"D = 193,7",193.7,12,53.8,68.5,2839,6.44,293,397,5678,586,0.609,18.6,,,,,,,,,,,,,,,,,,,,,,,,
"D = 193,7",193.7,12.5,55.9,71.2,2934,6.42,303,411,5869,606,0.609,17.9,,,,,,,,,,,,,,,,,,,,,,,,
"D = 193,7",193.7,16,70.1,89.3,3554,6.31,367,507,7109,734,0.609,14.3,,,,,,,,,,,,,,,,,,,,,,,,
"D = 219,1",219.1,5,26.4,33.6,1928,7.57,176,229,3856,352,0.688,37.9,,,,,,,,,,,,,,,,,,,,,,,,
"D = 219,1",219.1,6,31.5,40.2,2282,7.54,208,273,4564,417,0.688,31.7,,,,,,,,,,,,,,,,,,,,,,,,
"D = 219,1",219.1,6.3,33.1,42.1,2386,7.53,218,285,4772,436,0.688,30.2,,,,,,,,,,,,,,,,,,,,,,,,
"D = 219,1",219.1,8,41.6,53.1,2960,7.47,270,357,5919,540,0.688,24,,,,,,,,,,,,,,,,,,,,,,,,
"D = 219,1",219.1,10,51.6,65.7,3598,7.4,328,438,7197,657,0.688,19.4,,,,,,,,,,,,,,,,,,,,,,,,
"D = 219,1",219.1,12,61.3,78.1,4200,7.33,383,515,8400,767,0.688,16.3,,,,,,,,,,,,,,,,,,,,,,,,
"D = 219,1",219.1,12.5,63.7,81.1,4345,7.32,397,534,8689,793,0.688,15.7,,,,,,,,,,,,,,,,,,,,,,,,
"D = 219,1",219.1,16,80.1,102,5297,7.2,483,661,10593,967,0.688,12.5,,,,,,,,,,,,,,,,,,,,,,,,
"D = 219,1",219.1,20,98.2,125,6261,7.07,572,795,12523,1143,0.688,10.2,,,,,,,,,,,,,,,,,,,,,,,,
"D = 244,5",244.5,5,29.5,37.6,2699,8.47,221,287,5397,441,0.768,33.9,,,,,,,,,,,,,,,,,,,,,,,,
"D = 244,5",244.5,6,35.3,45,3199,8.43,262,341,6397,523,0.768,28.3,,,,,,,,,,,,,,,,,,,,,,,,
"D = 244,5",244.5,6.3,37,47.1,3346,8.42,274,358,6692,547,0.768,27,,,,,,,,,,,,,,,,,,,,,,,,
"D = 244,5",244.5,8,46.7,59.4,4160,8.37,340,448,8321,681,0.768,21.4,,,,,,,,,,,,,,,,,,,,,,,,
"D = 244,5",244.5,10,57.8,73.7,5073,8.3,415,550,10146,830,0.768,17.3,,,,,,,,,,,,,,,,,,,,,,,,
"D = 244,5",244.5,12,68.8,87.7,5938,8.23,486,649,11877,972,0.768,14.5,,,,,,,,,,,,,,,,,,,,,,,,
"D = 244,5",244.5,12.5,71.5,91.1,6147,8.21,503,673,12295,1006,0.768,14,,,,,,,,,,,,,,,,,,,,,,,,
"D = 244,5",244.5,16,90.2,115,7533,8.1,616,837,15066,1232,0.768,11.1,,,,,,,,,,,,,,,,,,,,,,,,
"D = 244,5",244.5,20,111,141,8957,7.97,733,1011,17914,1465,0.768,9.03,,,,,,,,,,,,,,,,,,,,,,,,
"D = 244,5",244.5,25,135,172,10517,7.81,860,1210,21034,1721,0.768,7.39,,,,,,,,,,,,,,,,,,,,,,,,
D = 273,273,5,33,42.1,3781,9.48,277,359,7562,554,0.858,30.3,,,,,,,,,,,,,,,,,,,,,,,,
D = 273,273,6,39.5,50.3,4487,9.44,329,428,8974,657,0.858,25.3,,,,,,,,,,,,,,,,,,,,,,,,
D = 273,273,6.3,41.4,52.8,4696,9.43,344,448,9392,688,0.858,24.1,,,,,,,,,,,,,,,,,,,,,,,,
D = 273,273,8,52.3,66.6,5852,9.37,429,562,11703,857,0.858,19.1,,,,,,,,,,,,,,,,,,,,,,,,
D = 273,273,10,64.9,82.6,7154,9.31,524,692,14308,1048,0.858,15.4,,,,,,,,,,,,,,,,,,,,,,,,
D = 273,273,12,77.2,98.4,8396,9.24,615,818,16792,1230,0.858,12.9,,,,,,,,,,,,,,,,,,,,,,,,
D = 273,273,12.5,80.3,102,8697,9.22,637,849,17395,1274,0.858,12.5,,,,,,,,,,,,,,,,,,,,,,,,
D = 273,273,16,101,129,10707,9.1,784,1058,21414,1569,0.858,9.86,,,,,,,,,,,,,,,,,,,,,,,,
D = 273,273,20,125,159,12798,8.97,938,1283,25597,1875,0.858,8.01,,,,,,,,,,,,,,,,,,,,,,,,
D = 273,273,25,153,195,15127,8.81,1108,1543,30254,2216,0.858,6.54,,,,,,,,,,,,,,,,,,,,,,,,
"D = 323,9",323.9,5,39.3,50.1,6369,11.3,393,509,12739,787,1.02,25.4,,,,,,,,,,,,,,,,,,,,,,,,
"D = 323,9",323.9,6,47,59.9,7572,11.2,468,606,15145,935,1.02,21.3,,,,,,,,,,,,,,,,,,,,,,,,
"D = 323,9",323.9,6.3,49.3,62.9,7929,11.2,490,636,15858,979,1.02,20.3,,,,,,,,,,,,,,,,,,,,,,,,
"D = 323,9",323.9,8,62.3,79.4,9910,11.2,612,799,19820,1224,1.02,16,,,,,,,,,,,,,,,,,,,,,,,,
"D = 323,9",323.9,10,77.4,96.6,12158,11.2,751,986,24317,1501,1.02,12.9,,,,,,,,,,,,,,,,,,,,,,,,
"D = 323,9",323.9,12,92.3,118,14320,11,884,1168,28639,1768,1.02,10.8,,,,,,,,,,,,,,,,,,,,,,,,
"D = 323,9",323.9,12.5,98,122,14847,11,917,1213,29693,1833,1.02,10.4,,,,,,,,,,,,,,,,,,,,,,,,
"D = 323,9",323.9,16,121,155,18390,10.9,1136,1518,36780,2271,1.02,8.23,,,,,,,,,,,,,,,,,,,,,,,,
"D = 323,9",323.9,20,150,191,22139,10.8,1367,1850,44278,2734,1.02,6.67,,,,,,,,,,,,,,,,,,,,,,,,
"D = 323,9",323.9,25,184,235,26400,10.6,1630,2239,52800,3260,1.02,5.43,,,,,,,,,,,,,,,,,,,,,,,,
"D = 355,6",355.6,6,51.7,65.9,10071,12.4,566,733,20141,1133,1.12,19.3,,,,,,,,,,,,,,,,,,,,,,,,
"D = 355,6",355.6,6.3,54.3,69.1,10547,12.4,593,769,21094,1186,1.12,18.4,,,,,,,,,,,,,,,,,,,,,,,,
"D = 355,6",355.6,8,68.6,87.4,13201,12.3,742,967,36403,1485,1.12,14.6,,,,,,,,,,,,,,,,,,,,,,,,
"D = 355,6",355.6,10,85.2,109,16223,12.2,912,1195,32447,1825,1.12,11.7,,,,,,,,,,,,,,,,,,,,,,,,
"D = 355,6",355.6,12,102,130,19139,12.2,1076,1417,38279,2153,1.12,9.83,,,,,,,,,,,,,,,,,,,,,,,,
"D = 355,6",355.6,12.5,106,135,19852,12.1,1117,1472,39704,2233,1.12,9.45,,,,,,,,,,,,,,,,,,,,,,,,
"D = 355,6",355.6,16,134,171,24663,12,1387,1847,49326,2774,1.12,7.46,,,,,,,,,,,,,,,,,,,,,,,,
"D = 355,6",355.6,20,166,211,29792,11.9,1676,2255,59583,3351,1.12,6.04,,,,,,,,,,,,,,,,,,,,,,,,
"D = 355,6",355.6,25,204,260,35677,11.7,2007,2738,71353,4013,1.12,4.91,,,,,,,,,,,,,,,,,,,,,,,,
"D = 406,4",406.4,6,59.2,75.5,15128,14.2,745,962,30257,1489,1.28,16.9,,,,,,,,,,,,,,,,,,,,,,,,
"D = 406,4",406.4,6.3,62.2,79.2,15849,14.1,780,1009,31699,1560,1.28,16.1,,,,,,,,,,,,,,,,,,,,,,,,
"D = 406,4",406.4,8,78.6,100,19874,14.1,978,1270,39748,1956,1.28,12.7,,,,,,,,,,,,,,,,,,,,,,,,
"D = 406,4",406.4,10,97.8,125,24476,14,1205,1572,48952,2409,1.28,10.2,,,,,,,,,,,,,,,,,,,,,,,,
"D = 406,4",406.4,12,117,149,28937,14,1424,1867,57874,2848,1.28,8.57,,,,,,,,,,,,,,,,,,,,,,,,
"D = 406,4",406.4,12.5,121,155,30031,13.9,1478,1940,60061,2956,1.28,8.24,,,,,,,,,,,,,,,,,,,,,,,,
"D = 406,4",406.4,16,154,196,37449,13.8,1843,2440,74898,3686,1.28,6.49,,,,,,,,,,,,,,,,,,,,,,,,
"D = 406,4",406.4,20,191,243,45432,13.7,2236,2989,90864,4472,1.28,5.25,,,,,,,,,,,,,,,,,,,,,,,,
"D = 406,4",406.4,25,235,300,54702,13.5,2692,3642,109404,5384,1.28,4.25,,,,,,,,,,,,,,,,,,,,,,,,
"D = 406,4",406.4,30,278,355,63224,13.3,3111,4259,126447,6223,1.28,3.59,,,,,,,,,,,,,,,,,,,,,,,,
"D = 406,4",406.4,40,361,460,78186,13,3848,5391,156373,7696,1.28,2.77,,,,,,,,,,,,,,,,,,,,,,,,
D = 457,457,6,66.7,85,21618,15.9,946,1220,43236,1892,1.44,15,,,,,,,,,,,,,,,,,,,,,,,,
D = 457,457,6.3,70,89.2,22654,15.9,991,1280,45306,1983,1.44,14.3,,,,,,,,,,,,,,,,,,,,,,,,
D = 457,457,8,88.6,113,28446,15.9,1245,1613,56893,2490,1.44,11.3,,,,,,,,,,,,,,,,,,,,,,,,
D = 457,457,10,110,140,35091,15.8,1536,1998,70183,3071,1.44,9.07,,,,,,,,,,,,,,,,,,,,,,,,
D = 457,457,12,132,168,41556,15.7,1819,2377,83113,3637,1.44,7.59,,,,,,,,,,,,,,,,,,,,,,,,
D = 457,457,12.5,137,175,43145,15.7,1888,2470,86290,3776,1.44,7.3,,,,,,,,,,,,,,,,,,,,,,,,
D = 457,457,16,174,222,53959,15.6,2361,3113,107919,4723,1.44,5.75,,,,,,,,,,,,,,,,,,,,,,,,
D = 457,457,20,216,275,65681,15.5,2874,3822,131363,5749,1.44,4.64,,,,,,,,,,,,,,,,,,,,,,,,
D = 457,457,25,266,339,79415,15.3,3475,4671,158830,6951,1.44,3.75,,,,,,,,,,,,,,,,,,,,,,,,
D = 457,457,30,316,402,92173,15.1,4034,5479,184346,8068,1.44,3.17,,,,,,,,,,,,,,,,,,,,,,,,
D = 457,457,40,411,524,114949,14.8,5031,6977,229896,10061,1.44,2.43,,,,,,,,,,,,,,,,,,,,,,,,
D = 457,457,50,501,639,134375,14.5,5881,8324,268750,11761,1.44,1.99,,,,,,,,,,,,,,,,,,,,,,,,
"D = 508,8",508.8,6,74.3,94.6,29812,17.7,1174,1512,59623,2347,1.6,13.5,,,,,,,,,,,,,,,,,,,,,,,,
"D = 508,8",508.8,6.3,77.9,99.3,31246,17.7,1230,1586,62493,2460,1.6,12.8,,,,,,,,,,,,,,,,,,,,,,,,
"D = 508,8",508.8,8,98.6,126,39280,17.7,1546,2000,78560,3093,1.6,10.1,,,,,,,,,,,,,,,,,,,,,,,,
"D = 508,8",508.8,10,123,156,48520,17.6,1910,2480,97040,3820,1.6,8.14,,,,,,,,,,,,,,,,,,,,,,,,
"D = 508,8",508.8,12,147,187,57536,17.5,2265,2953,115072,4530,1.6,6.81,,,,,,,,,,,,,,,,,,,,,,,,
D = 610,610,6,89.4,114,51924,21.4,1702,2189,103847,3405,1.92,11.2,,,,,,,,,,,,,,,,,,,,,,,,
D = 610,610,6.3,93.8,119,54439,21.3,1785,2296,108878,3570,1.92,10.7,,,,,,,,,,,,,,,,,,,,,,,,
D = 610,610,8,119,151,68551,21.3,2248,2899,137103,4495,1.92,8.42,,,,,,,,,,,,,,,,,,,,,,,,
D = 610,610,10,148,188,84846,21.2,2782,3600,169693,5564,1.92,6.76,,,,,,,,,,,,,,,,,,,,,,,,
D = 610,610,12,177,225,100814,21.1,3305,4292,201627,6611,1.92,5.65,,,,,,,,,,,,,,,,,,,,,,,,
D = 610,610,12.5,184,235,104755,21.1,3435,4463,209509,6869,1.92,5.43,,,,,,,,,,,,,,,,,,,,,,,,
D = 610,610,16,234,299,131781,21,4321,5647,263563,8641,1.92,4.27,,,,,,,,,,,,,,,,,,,,,,,,
D = 610,610,20,291,371,161490,20.9,5295,6965,322979,10589,1.92,3.44,,,,,,,,,,,,,,,,,,,,,,,,
D = 610,610,25,361,459,196906,20.7,6456,8561,393813,12912,1.92,2.77,,,,,,,,,,,,,,,,,,,,,,,,
D = 610,610,30,429,547,230476,20.5,7557,10101,460952,15113,1.92,2.33,,,,,,,,,,,,,,,,,,,,,,,,
D = 610,610,40,562,716,292333,20.2,9585,13017,584666,19169,1.92,1.78,,,,,,,,,,,,,,,,,,,,,,,,
D = 610,610,50,691,880,347570,19.9,11396,15722,695140,22791,1.92,1.45,,,,,,,,,,,,,,,,,,,,,,,,
D = 711,711,6,104,133,82568,24.9,2323,2982,165135,4645,2.23,9.59,,,,,,,,,,,,,,,,,,,,,,,,
D = 711,711,6.3,109,139,86586,24.9,2436,3129,173172,4871,2.23,9.13,,,,,,,,,,,,,,,,,,,,,,,,
D = 711,711,8,139,177,109162,24.9,3071,3954,218324,6141,2.23,7.21,,,,,,,,,,,,,,,,,,,,,,,,
D = 711,711,10,173,220,135301,24.8,3806,4914,270603,7612,2.23,5.78,,,,,,,,,,,,,,,,,,,,,,,,
D = 711,711,12,207,264,160991,24.7,4529,5864,321981,9057,2.23,4.83,,,,,,,,,,,,,,,,,,,,,,,,
D = 711,711,12.5,215,274,167343,24.7,4707,6099,334686,9415,2.23,4.64,,,,,,,,,,,,,,,,,,,,,,,,
D = 711,711,16,274,349,211040,24.6,5936,7730,422080,11873,2.23,3.65,,,,,,,,,,,,,,,,,,,,,,,,
D = 711,711,20,341,434,259351,24.4,7295,9552,518702,14591,2.23,2.93,,,,,,,,,,,,,,,,,,,,,,,,
D = 711,711,25,423,539,317357,24.3,8927,11770,634715,17854,2.23,2.36,,,,,,,,,,,,,,,,,,,,,,,,
D = 711,711,30,504,642,372790,24.1,10486,13922,745580,20973,2.23,1.98,,,,,,,,,,,,,,,,,,,,,,,,
D = 711,711,40,662,843,476242,23.8,13396,18031,952485,26793,2.23,1.51,,,,,,,,,,,,,,,,,,,,,,,,
D = 711,711,50,815,1038,570311,23.4,16043,21888,1140623,32085,2.23,1.23,,,,,,,,,,,,,,,,,,,,,,,,
D = 711,711,60,963,1227,655582,23.1,18441,25500,1311166,36882,2.23,1.04,,,,,,,,,,,,,,,,,,,,,,,,
D = 762,762,6,112,143,101813,26.7,2672,3429,203626,5345,2.39,8.94,,,,,,,,,,,,,,,,,,,,,,,,
D = 762,762,6.3,117,150,106777,26.7,2803,3598,213555,5605,2.39,8.52,,,,,,,,,,,,,,,,,,,,,,,,
D = 762,762,8,149,190,134683,26.7,3535,4548,269366,7070,2.39,6.72,,,,,,,,,,,,,,,,,,,,,,,,
D = 762,762,10,185,236,167028,26.6,4384,5655,334057,8768,2.39,5.39,,,,,,,,,,,,,,,,,,,,,,,,
D = 762,762,12,222,283,198855,26.5,5219,6751,397710,10439,2.39,4.51,,,,,,,,,,,,,,,,,,,,,,,,
D = 762,762,12.5,231,294,206731,26.5,5426,7023,413462,10852,2.39,4.33,,,,,,,,,,,,,,,,,,,,,,,,
D = 762,762,16,294,375,260973,26.4,6850,8906,521947,13699,2.39,3.4,,,,,,,,,,,,,,,,,,,,,,,,
D = 762,762,20,366,466,321083,26.2,8427,11014,642166,16855,2.39,2.73,,,,,,,,,,,,,,,,,,,,,,,,
D = 762,762,25,454,579,393461,26.1,10327,13584,786922,20654,2.39,2.2,,,,,,,,,,,,,,,,,,,,,,,,
D = 762,762,30,542,690,462853,25.9,12148,16084,925706,24297,2.39,1.85,,,,,,,,,,,,,,,,,,,,,,,,
D = 762,762,40,712,907,593010,25.6,15565,20873,1186021,31129,2.39,1.4,,,,,,,,,,,,,,,,,,,,,,,,
D = 762,762,50,878,1118,712207,25.2,18693,25389,1424414,37386,2.39,1.14,,,,,,,,,,,,,,,,,,,,,,,,
D =813,813,8,159,202,163900,28.5,4032,5184,327801,8064,2.55,6.3,,,,,,,,,,,,,,,,,,,,,,,,
D =813,813,10,198,252,203364,28.4,5003,6448,406728,10006,2.55,5.05,,,,,,,,,,,,,,,,,,,,,,,,
D =813,813,12,237,302,242234,28.3,5959,7700,484469,11918,2.55,4.22,,,,,,,,,,,,,,,,,,,,,,,,
D =813,813,12.5,247,314,251860,28.3,6196,8011,503721,12392,2.55,4.05,,,,,,,,,,,,,,,,,,,,,,,,
D =813,813,16,314,401,318221,28.2,7828,10165,636443,15657,2.55,3.18,,,,,,,,,,,,,,,,,,,,,,,,
D =813,813,20,391,498,391909,28,9641,12580,783819,19282,2.55,2.56,,,,,,,,,,,,,,,,,,,,,,,,
D =813,813,25,486,619,480856,27.9,11829,15529,961713,23658,2.55,2.06,,,,,,,,,,,,,,,,,,,,,,,,
D =813,813,30,579,738,566374,27.7,13933,18402,1132748,27866,2.55,1.73,,,,,,,,,,,,,,,,,,,,,,,,
D = 914,914,8,179,228,233651,32,5113,6567,467303,10225,2.87,5.59,,,,,,,,,,,,,,,,,,,,,,,,
D = 914,914,10,223,284,290147,32,6349,8172,580294,12698,2.87,4.49,,,,,,,,,,,,,,,,,,,,,,,,
D = 914,914,12,267,340,345889,31.9,7569,9764,691779,15137,2.87,3.75,,,,,,,,,,,,,,,,,,,,,,,,
D = 914,914,12.5,278,354,359708,31.9,7871,10159,719417,15742,2.87,3.6,,,,,,,,,,,,,,,,,,,,,,,,
D = 914,914,16,354,451,455141,31.8,9959,12904,910284,19919,2.87,2.82,,,,,,,,,,,,,,,,,,,,,,,,
D = 914,914,20,441,562,561461,31.6,12286,15987,1122922,24572,2.87,2.27,,,,,,,,,,,,,,,,,,,,,,,,
D = 914,914,25,548,698,690316,31.4,15105,19763,1380634,30211,2.87,1.82,,,,,,,,,,,,,,,,,,,,,,,,
D = 914,914,30,654,833,814775,31.3,17829,23453,1629550,35658,2.87,1.53,,,,,,,,,,,,,,,,,,,,,,,,
D = 1016,1016,8,199,253,321780,35.6,6334,8129,643560,12668,3.19,5.03,,,,,,,,,,,,,,,,,,,,,,,,
D = 1016,1016,10,248,316,399849,35.6,7871,10121,799699,15742,3.19,4.03,,,,,,,,,,,,,,,,,,,,,,,,
D = 1016,1016,12,297,378,476984,35.5,9389,12097,953969,18779,3.19,3.37,,,,,,,,,,,,,,,,,,,,,,,,
D = 1016,1016,12.5,309,394,496123,35.5,9766,12588,992246,19532,3.19,3.23,,,,,,,,,,,,,,,,,,,,,,,,
D = 1016,1016,16,395,503,628479,35.4,12372,16001,1256959,24743,3.19,2.53,,,,,,,,,,,,,,,,,,,,,,,,
D = 1016,1016,20,491,626,776323,35.2,15282,19843,1552648,30564,3.19,2.04,,,,,,,,,,,,,,,,,,,,,,,,
D = 1016,1016,25,611,778,956086,35,18821,24557,1912173,37641,3.19,1.64,,,,,,,,,,,,,,,,,,,,,,,,
D = 1016,1016,30,729,929,1130351,34.9,22251,29175,2260704,44502,3.19,1.37,,,,,,,,,,,,,,,,,,,,,,,,
D = 1067,1067,10,261,332,463792,37.4,8693,11173,927585,17387,3.35,3.84,,,,,,,,,,,,,,,,,,,,,,,,
D = 1067,1067,12,312,398,553419,37.3,10373,13357,1106840,20747,3.35,3.2,,,,,,,,,,,,,,,,,,,,,,,,
D = 1067,1067,12.5,325,414,575666,37.3,10790,13900,1151332,21581,3.35,3.08,,,,,,,,,,,,,,,,,,,,,,,,
D = 1067,1067,16,415,528,729606,37.2,13676,17675,1459213,27352,3.35,2.41,,,,,,,,,,,,,,,,,,,,,,,,
D = 1067,1067,20,516,658,901754,37,16903,21927,1803509,33805,3.35,1.94,,,,,,,,,,,,,,,,,,,,,,,,
D = 1067,1067,25,642,818,1111354,36.9,20831,27149,2222711,41663,3.35,1.56,,,,,,,,,,,,,,,,,,,,,,,,
D = 1067,1067,30,767,977,1314863,36.7,24646,32270,2629727,49292,3.35,1.3,,,,,,,,,,,,,,,,,,,,,,,,
D = 1168,1168,10,286,364,609842,40.9,10443,13410,1219686,20885,3.67,3.5,,,,,,,,,,,,,,,,,,,,,,,,
D = 1168,1168,12,342,436,728050,40.9,12467,16037,1456101,24933,3.67,2.92,,,,,,,,,,,,,,,,,,,,,,,,
D = 1168,1168,12.5,356,454,757409,40.9,12969,16690,1514818,25939,3.67,2.81,,,,,,,,,,,,,,,,,,,,,,,,
D = 1168,1168,16,455,579,960773,40.7,16452,21235,1921547,32903,3.67,2.2,,,,,,,,,,,,,,,,,,,,,,,,
D = 1168,1168,20,566,721,1188631,40.6,20353,26361,2377264,40707,3.67,1.77,,,,,,,,,,,,,,,,,,,,,,,,
D = 1168,1168,25,705,898,1466716,40.4,25115,32666,2933434,50230,3.67,1.42,,,,,,,,,,,,,,,,,,,,,,,,
D = 1219,1219,10,298,380,694014,42.7,11387,14617,1388029,22773,3.83,3.35,,,,,,,,,,,,,,,,,,,,,,,,
D = 1219,1219,12,357,455,828716,42.7,13597,17483,1657433,27193,3.83,2.8,,,,,,,,,,,,,,,,,,,,,,,,
D = 1219,1219,12.5,372,474,862180,42.7,14146,18196,1724362,28291,3.83,2.69,,,,,,,,,,,,,,,,,,,,,,,,
D = 1219,1219,16,475,605,1094091,42.5,17951,23157,2188183,35901,3.83,2.11,,,,,,,,,,,,,,,,,,,,,,,,
D = 1219,1219,20,591,753,1354153,42.4,22217,28755,2708309,44435,3.83,1.69,,,,,,,,,,,,,,,,,,,,,,,,
D = 1219,1219,25,736,938,1671871,42.2,27430,35646,3343746,54860,3.83,1.36,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Circolari a freddo,D,t ,M ,A ,I ,i ,Wel ,Wpl ,It ,Ct ,Sup. est.,L per ton,,,,,,,,,,,,,,,,,,,,,,,,
,[mm] ,[mm] ,[kg/m] ,[cm2] ,[cm4] ,[cm] ,[cm3] ,[cm3] ,[cm4] ,[cm3] ,[m2/m] ,[m/t] ,,,,,,,,,,,,,,,,,,,,,,,,
,1219,20,591,753,1354155,42.4,22217,28755,2708309,44435,3.83,1.69,220,,,,,,,,,,,,,,,,,,,,,,,
"D = 21,3",21.3,2,0.95,1.21,0.571,0.686,0.536,0.748,1.14,1.07,0.067,1050.5,,,,,,,,,,,,,,,,,,,,,,,,
"D = 21,3",21.3,2.5,1.16,1.48,0.664,0.671,0.623,0.889,1.33,1.25,0.067,862.7,,,,,,,,,,,,,,,,,,,,,,,,
"D = 21,3",21.3,3,1.35,1.72,0.741,0.656,0.696,1.01,1.48,1.39,0.067,738.6,,,,,,,,,,,,,,,,,,,,,,,,
"D = 26,9",26.9,2,1.23,1.56,1.22,0.883,0.907,1.24,2.44,1.81,0.085,814.2,,,,,,,,,,,,,,,,,,,,,,,,
"D = 26,9",26.9,2.5,1.5,1.92,1.44,0.867,1.07,1.49,2.88,2.14,0.085,664.7,,,,,,,,,,,,,,,,,,,,,,,,
"D = 26,9",26.9,3,1.77,2.25,1.63,0.852,1.21,1.72,3.27,2.43,0.085,565.5,,,,,,,,,,,,,,,,,,,,,,,,
"D = 33,7",33.7,2,1.56,1.99,2.51,1.12,1.49,2.01,5.02,2.98,0.106,639.6,,,,,,,,,,,,,,,,,,,,,,,,
"D = 33,7",33.7,2.5,1.92,2.45,3,1.11,1.78,2.44,6,3.56,0.106,519.9,,,,,,,,,,,,,,,,,,,,,,,,
